code,name,nb_heures_PPN,nb_heures_semaine,Type
R101,Anglais,25,25,Ressource
R102,Anglais / anglais renforcé,10,10,Ressource
R103,Ergonomie & Accessibilité,15,15,Ressource
R104,Culture numérique,15,15,Ressource
R105,Stratégies de communication et marketing,25,25,Ressource
R106,"Expression, communication et rhétorique",20,20,Ressource
R107,Écriture multimédia et narration,15,15,Ressource
R108,Production graphique,20,20,Ressource
R109,Culture artistique,15,15,Ressource
R110,Production audio & vidéo,20,20,Ressource
R111,Intégration,25,25,Ressource
R112,Développement web,20,20,Ressource
R113,Hébergement,15,15,Ressource
R114,Représentation et traitement de l'information,20,20,Ressource
R115,Gestion de projet,15,15,Ressource
R116,Economie et Droit du numérique,15,15,Ressource
R117,PPP,20,20,Ressource
SAE101,Auditer une communication numérique,25,25,SAE
SAE102,Concevoir une recommandation de communication numérique,20,20,SAE
SAE103,Produire les éléments d'une communication visuelle,22.5,22.5,SAE
SAE104,Réaliser une production audio et vidéo,22.5,22.5,SAE
SAE105,Produire un site Web,55,55,SAE
SAE106,Gérer un projet de communication numérique,45,45,SAE
R201,Anglais,15,15,Ressource
R202,Anglais,10,10,Ressource
R203,Ergonomie & Accessibilité,15,15,Ressource
R204,Culture numérique,15,15,Ressource
R205,Stratégie de communication & marketing,15,15,Ressource
R206,"Expression, communication et réthorique",15,15,Ressource
R207,Ecriture multimédia et narration,15,15,Ressource
R208,Production graphique,20,20,Ressource
R209,Culture artistique,15,15,Ressource
R210,Production audio et vidéo,20,20,Ressource
R211,Gestion de contenu,10,10,Ressource
R212,Intégration,20,20,Ressource
R213,Développement web,20,20,Ressource
R214,Système d'information,15,15,Ressource
R215,Hébergement,15,15,Ressource
R216,Représentation et traitement de l'information,15,15,Ressource
R217,Gestion de projet,15,15,Ressource
R218,Economie et Droit du numérique,15,15,Ressource
R219,PPP,20,20,Ressource
SAE201,Exploration des usages,20,20,SAE
SAE202,Conception d'un produit ou d'un service et sa communication,105,105,SAE
SAE203,Concevoir un site web avec une source de données,50,50,SAE
SAE204,Construire sa présence en ligne,20,20,SAE
S2 Portfolio,Portfolio,0,0,SAE
R301,Anglais,25,25,Ressource
R302,Anglais / anglais renforcé,25,25,Ressource
R303,Design d’expérience,15,15,Ressource
R304,Culture numérique,15,15,Ressource
R305,Stratégie de communication et marketing,15,15,Ressource
R306,Référencement,15,15,Ressource
R307,"Expression, communication et réthorique",15,15,Ressource
R308,Écriture multimédia et narration,10,10,Ressource
R309,Création et design interactif (UI),15,15,Ressource
R310,Culture artistique,20,20,Ressource
R311,Audiovisuel et motion design,20,20,Ressource
R312,Développement Front et intégration,35,35,Ressource
R313,Dev back (dev) / Gestion de contenus (non dev),20,20,Ressource
R314,Déploiement de services,20,20,Ressource
R315,Représentation et traitement de l’information,20,20,Ressource
R316,Gestion de projet,15,15,Ressource
R317,"Economie, gestion et droit du numérique",15,15,Ressource
R318,PPP,10,10,Ressource
SAE301,Intégrer des interfaces utilisateurs au sein d'un système d'information,25,25,SAE
SAE302,Produire des contenus pour une communication plurimédia,25,25,SAE
SAE303,Concevoir des visualisations de données pour le web et un support animé,20,20,SAE
R401,Anglais,15,15,Ressource
R402,"Économie, gestion et droit du numérique",15,15,Ressource
R403,Design d'expérience,15,15,Ressource
R404,"Expression, communication",15,15,Ressource
R405 Crea,Gestion de contenus spécialisée,20,20,Ressource
R406 Crea,Culture artistique,15,15,Ressource
R407 Crea,Audiovisuel   Motion design,15,15,Ressource
R408 Crea,Ecriture multimédia et narration,10,10,Ressource
R405 Dev,Création et design interactif,15,15,Ressource
R406 Dev,Développement front,15,15,Ressource
R407 Dev,Développement back,20,20,Ressource
R408 Dev,Déploiement de services,10,10,Ressource
R405 Strat UX,Stratégie de Com / Webmarketing,20,20,Ressource
